Index,No,movie,week_at_Top10
0,1,Love at First Sight,1
1,2,Insomnia,1
2,3,Rumor Has It...,2
3,4,The Wolf of Wall Street,4
4,5,Teenage Mutant Ninja Turtles 2,2
5,6,F9: The Fast Saga,3
6,7,Four Brothers,1
7,8,"Ordinary Men: The ""Forgotten Holocaust""",1
8,9,You Are So Not Invited to My Bat Mitzvah,4
9,10,Pitch Perfect,2
0,1,Jexi,2
1,2,F9: The Fast Saga,2
2,3,You Are So Not Invited to My Bat Mitzvah,3
3,4,Rumor Has It...,1
4,5,Fantastic Beasts: The Secrets of Dumbledore,2
5,6,Sonic the Hedgehog 2,3
6,7,Teenage Mutant Ninja Turtles 2,1
7,8,Pitch Perfect,1
8,9,Assault on VA-33,1
9,10,Choose Love,2
0,1,You Are So Not Invited to My Bat Mitzvah,2
1,2,F9: The Fast Saga,1
2,3,Sonic the Hedgehog 2,2
3,4,Fantastic Beasts: The Secrets of Dumbledore,1
4,5,Jexi,1
5,6,To Catch a Killer,3
6,7,Halloween Kills,1
7,8,Heart of Stone,4
8,9,Choose Love,1
9,10,The Monkey King,3
0,1,To Catch a Killer,2
1,2,Sonic the Hedgehog 2,1
2,3,You Are So Not Invited to My Bat Mitzvah,1
3,4,The Monkey King,2
4,5,Heart of Stone,3
5,6,The Lost City,3
6,7,6 Below: Miracle on the Mountain,1
7,8,The Place Beyond the Pines,1
8,9,The Matrix Resurrections,3
9,10,Man of Tai Chi,1
0,1,Heart of Stone,2
1,2,The Lost City,2
2,3,To Catch a Killer,1
3,4,The Matrix Resurrections,2
4,5,Untold: Hall of Shame,1
5,6,Without a Paddle,3
6,7,Taking Lives,1
7,8,The Monkey King,1
8,9,Don't Breathe 2,1
9,10,Robin Hood,2
0,1,The Lost City,1
1,2,Heart of Stone,1
2,3,Untold: Johnny Football,1
3,4,The Matrix Resurrections,1
4,5,Two Weeks Notice,1
5,6,Happiness for Beginners,3
6,7,Robin Hood,1
7,8,Poisoned: The Dirty Truth About Your Food,2
8,9,"Miraculous: Ladybug & Cat Noir, The Movie",3
9,10,The Taking of Pelham 123,1
0,1,Happiness for Beginners,2
1,2,Hidden Strike,2
2,3,"Miraculous: Ladybug & Cat Noir, The Movie",2
3,4,Poisoned: The Dirty Truth About Your Food,1
4,5,Paradise,1
5,6,Untold: Jake Paul the Problem Child,1
6,7,Texas Killing Fields,2
7,8,Missing: The Lucie Blackman Case,2
8,9,Soulcatcher,1
9,10,The Current War,1
0,1,Hidden Strike,1
1,2,Happiness for Beginners,1
2,3,Texas Killing Fields,1
3,4,Missing: The Lucie Blackman Case,1
4,5,"Miraculous: Ladybug & Cat Noir, The Movie",1
5,6,Unknown: Cosmic Time Machine,1
6,7,Fist Fight,2
7,8,The Batman,2
8,9,The Out-Laws,4
9,10,They Cloned Tyrone,1
0,1,The Batman,1
1,2,The Out-Laws,3
2,3,Unknown: Cave of Bones,1
3,4,Bird Box Barcelona,2
4,5,Escape Room: Tournament Of Champions,1
5,6,Fist Fight,1
6,7,Captain Underpants: The First Epic Movie,1
7,8,Dungeons & Dragons: Honor Among Thieves,4
8,9,On the Line,2
9,10,The Deepest Breath,1
0,1,The Out-Laws,2
1,2,Dungeons & Dragons: Honor Among Thieves,3
2,3,On the Line,1
3,4,Nobody,3
4,5,Bird Box Barcelona,1
5,6,The Nice Guys,2
6,7,Fool's Gold,1
7,8,The Man from U.N.C.L.E.,1
8,9,The Tutor,1
9,10,World War Z,2
0,1,Nobody,2
1,2,The Out-Laws,1
2,3,Dungeons & Dragons: Honor Among Thieves,2
3,4,Titanic,1
4,5,World War Z,1
5,6,The Nice Guys,1
6,7,WHAM!,1
7,8,Unknown: The Lost Pyramid,1
8,9,Nimona,1
9,10,Run Rabbit Run,2
0,1,Nobody,1
1,2,Extraction 2,3
2,3,Run Rabbit Run,1
3,4,King Richard,2
4,5,Maybe I Do,2
5,6,The Perfect Find,2
6,7,Dungeons & Dragons: Honor Among Thieves,1
7,8,Take Care of Maya,2
8,9,Age of Heroes,1
9,10,Make Me Believe,1
0,1,Extraction 2,2
1,2,Maybe I Do,1
2,3,Take Care of Maya,1
3,4,Georgetown,1
4,5,Extraction,2
5,6,Gemini Man,4
6,7,King Richard,1
7,8,Life or Something Like It,2
8,9,The Perfect Find,1
9,10,Spider-Man: Into the Spider-Verse,3
0,1,Extraction 2,1
1,2,Dune,2
2,3,Life or Something Like It,1
3,4,Spider-Man: Into the Spider-Verse,2
4,5,A Man Apart,2
5,6,Extraction,1
6,7,Baby Driver,1
7,8,The Substitute,1
8,9,American Made,3
9,10,A Beautiful Life,3
0,1,American Made,2
1,2,A Beautiful Life,2
2,3,Dune,1
3,4,Spider-Man: Into the Spider-Verse,1
4,5,A Man Apart,1
5,6,Mean Girls,1
6,7,Redemption Day,1
7,8,Miss Congeniality,1
8,9,Jack the Giant Slayer,1
9,10,Mr. Peabody & Sherman,1
0,1,Jack Reacher: Never Go Back,2
1,2,A Beautiful Life,1
2,3,Astérix & Obélix: The Middle Kingdom,1
3,4,Oldboy,1
4,5,The Boss Baby,4
5,6,Jack Reacher,3
6,7,Blood & Gold,2
7,8,The Mother,4
8,9,American Made,1
9,10,Instant Family,3
0,1,Jack Reacher: Never Go Back,1
1,2,The Mother,3
2,3,Jack Reacher,2
3,4,Instant Family,2
4,5,Mother's Day,1
5,6,The Boss Baby: Family Business,2
6,7,Book Club,1
7,8,Victim/Suspect,1
8,9,Blood & Gold,1
9,10,Anna Nicole Smith: You Don't Know Me,2
0,1,The Mother,2
1,2,Anna Nicole Smith: You Don't Know Me,1
2,3,The Boss Baby: Family Business,1
3,4,Faithfully Yours,1
4,5,Instant Family,1
5,6,Mrs. Chatterjee vs Norway,2
6,7,London Boulevard,1
7,8,Horizon Line,1
8,9,Here Today,1
9,10,The Invention of Lying,2
0,1,The Mother,1
1,2,How to Be Single,2
2,3,The Cobbler,1
3,4,Ninja Assassin,1
4,5,The Invention of Lying,1
5,6,Flight,1
6,7,Mrs. Chatterjee vs Norway,1
7,8,The Butterfly Effect,1
8,9,50 to 1,2
9,10,Haywire,1
0,1,AKA,2
1,2,Child 44,1
2,3,Cry Macho,1
3,4,Official Secrets,1
4,5,How to Be Single,1
5,6,Land,1
6,7,Tu Jhoothi Main Makkaar,1
7,8,Bait,1
8,9,50 to 1,1
9,10,Spotlight,1
0,1,A Tourist's Guide to Love,2
1,2,42,1
2,3,AKA,1
3,4,Stowaway,1
4,5,Malignant,1
5,6,Murder Mystery 2,5
6,7,The Last Kingdom: Seven Kings Must Die,3
7,8,The Light We Carry: Michelle Obama and Oprah Winfrey,1
8,9,Mission: Impossible - Fallout,4
9,10,Longest Third Date,2
0,1,Chaos Walking,2
1,2,The Last Kingdom: Seven Kings Must Die,2
2,3,A Tourist's Guide to Love,1
3,4,Murder Mystery 2,4
4,5,Into the Storm,2
5,6,Chupa,3
6,7,Mission: Impossible - Fallout,3
7,8,Longest Third Date,1
8,9,Shehzada,1
9,10,Dr. Seuss' The Lorax,3
0,1,The Last Kingdom: Seven Kings Must Die,1
1,2,Chupa,2
2,3,The Immaculate Room,1
3,4,Mission: Impossible - Fallout,2
4,5,Murder Mystery 2,3
5,6,Hunger,1
6,7,Spiral: From the Book of Saw,1
7,8,Into the Storm,1
8,9,Mission: Impossible - Rogue Nation,2
9,10,Chaos Walking,1
0,1,Murder Mystery 2,2
1,2,Mission: Impossible - Fallout,1
2,3,The Many Saints of Newark,1
3,4,Murder Mystery,2
4,5,"10,000 B.C.",1
5,6,Mission: Impossible - Rogue Nation,1
6,7,Reminiscence,1
7,8,Chupa,1
8,9,New York Minute,1
9,10,Something's Gotta Give,1
0,1,Murder Mystery 2,1
1,2,The Suicide Squad,2
2,3,Murder Mystery,1
3,4,I See You,2
4,5,The War with Grandpa,2
5,6,Kill Boksoon,1
6,7,Bullet to the Head,2
7,8,Interstellar,2
8,9,Luther: The Fallen Sun,4
9,10,Jackass Forever,2
0,1,The Suicide Squad,1
1,2,The War with Grandpa,1
2,3,I See You,1
3,4,Interstellar,1
4,5,Luther: The Fallen Sun,3
5,6,Jackass Forever,1
6,7,The Magician's Elephant,1
7,8,Bullet to the Head,1
8,9,Money Shot: The Pornhub Story,2
9,10,Home,3
0,1,Luther: The Fallen Sun,2
1,2,Money Shot: The Pornhub Story,1
2,3,Scream,2
3,4,The Tall Man,1
4,5,Wanted,1
5,6,Breaking,1
6,7,Splice,1
7,8,Central Intelligence,3
8,9,Home,2
9,10,Faraway,2
0,1,Luther: The Fallen Sun,1
1,2,Scream,1
2,3,Couples Retreat,2
3,4,Central Intelligence,2
4,5,Space Jam: A New Legacy,2
5,6,The Intern,2
6,7,News of the World,2
7,8,Faraway,1
8,9,The Unholy,1
9,10,Promising Young Woman,2
0,1,News of the World,1
1,2,We Have a Ghost,2
2,3,Space Jam: A New Legacy,1
3,4,The Intern,1
4,5,Central Intelligence,1
5,6,Promising Young Woman,1
6,7,Couples Retreat,1
7,8,Knockaround Guys,1
8,9,Come Play,1
9,10,Gran Torino,1
0,1,We Have a Ghost,1
1,2,The Judge,2
2,3,Your Place or Mine,3
3,4,I Care a Lot,1
4,5,The Legend of Tarzan,2
5,6,The Strays,1
6,7,San Andreas,2
7,8,The Mummy,2
8,9,She's the Man,2
9,10,Vacation,4
0,1,Your Place or Mine,2
1,2,The Judge,1
2,3,The Legend of Tarzan,1
3,4,San Andreas,1
4,5,The Mummy,1
5,6,She's the Man,1
6,7,Vacation,3
7,8,Forgetting Sarah Marshall,1
8,9,You People,4
9,10,Medieval,2
0,1,Your Place or Mine,1
1,2,Vacation,2
2,3,Medieval,1
3,4,You People,3
4,5,"Pamela, a love story",2
5,6,True Spirit,2
6,7,Mystic River,1
7,8,Spawn,1
8,9,Son of the Mask,1
9,10,"Crazy, Stupid, Love.",1
0,1,You People,2
1,2,"Pamela, a love story",1
2,3,John Q,1
3,4,Miss Congeniality 2: Armed and Fabulous,1
4,5,Vacation,1
5,6,All My Life,1
6,7,Viking Wolf,1
7,8,City of Lies,1
8,9,True Spirit,1
9,10,Vendetta,1
0,1,You People,1
1,2,Narvik,1
2,3,The Conjuring: The Devil Made Me Do It,2
3,4,Snake Eyes: G.I. Joe Origins,2
4,5,Glass Onion: A Knives Out Mystery,6
5,6,Fall,3
6,7,Drift,1
7,8,JUNG_E,2
8,9,All Quiet on the Western Front,4
9,10,Mission Majnu,2
0,1,Snake Eyes: G.I. Joe Origins,1
1,2,Fall,2
2,3,Don't Say a Word,1
3,4,Dog Gone,2
4,5,Glass Onion: A Knives Out Mystery,5
5,6,The Hatchet Wielding Hitchhiker,2
6,7,A Quiet Place Part II,2
7,8,The Conjuring: The Devil Made Me Do It,1
8,9,JUNG_E,1
9,10,Mission Majnu,1
0,1,The Hatchet Wielding Hitchhiker,1
1,2,Fall,1
2,3,The Pale Blue Eye,2
3,4,The Change-Up,2
4,5,Glass Onion: A Knives Out Mystery,4
5,6,Dog Gone,1
6,7,Let Him Go,3
7,8,The Interview,1
8,9,Cutthroat Island,1
9,10,A Quiet Place Part II,1
0,1,Let Him Go,2
1,2,Glass Onion: A Knives Out Mystery,3
2,3,The Pale Blue Eye,1
3,4,Bastille Day,1
4,5,Those Who Wish Me Dead,2
5,6,The Change-Up,1
6,7,Roald Dahl's Matilda The Musical,2
7,8,White Noise,2
8,9,The Punisher,1
9,10,Freaky,1
0,1,Glass Onion: A Knives Out Mystery,2
1,2,Roald Dahl's Matilda The Musical,1
2,3,Those Who Wish Me Dead,1
3,4,White Noise,1
4,5,After Ever Happy,1
5,6,Fatale,3
6,7,Let Him Go,1
7,8,How the Grinch Stole Christmas,12
8,9,The Volcano: Rescue from Whakaari,3
9,10,Rumble,2
0,1,Glass Onion: A Knives Out Mystery,1
1,2,How the Grinch Stole Christmas,11
2,3,Fatale,2
3,4,The Volcano: Rescue from Whakaari,2
4,5,A Bad Moms Christmas,4
5,6,Dreamland,1
6,7,Rumble,1
7,8,The Christmas Chronicles,2
8,9,The Night Before,2
9,10,I Believe in Santa,2
0,1,Mortal Kombat,2
1,2,How the Grinch Stole Christmas,10
2,3,I Believe in Santa,1
3,4,Fatale,1
4,5,The Croods: A New Age,1
5,6,The Volcano: Rescue from Whakaari,1
6,7,Guillermo del Toro’s Pinocchio,2
7,8,Emily the Criminal,2
8,9,It Takes Two,1
9,10,God's Crooked Lines,1
0,1,Troll,2
1,2,How the Grinch Stole Christmas,9
2,3,Emily the Criminal,1
3,4,Mortal Kombat,1
4,5,Lady Chatterley's Lover,2
5,6,2 Hearts,2
6,7,Guillermo del Toro’s Pinocchio,1
7,8,The Night Before,1
8,9,The Resident,1
9,10,The Noel Diary,3
0,1,Troll,1
1,2,The Noel Diary,2
2,3,The Swimmers,2
3,4,My Name Is Vendetta,1
4,5,Lady Chatterley's Lover,1
5,6,Ghislaine Maxwell: Filthy Rich,2
6,7,How the Grinch Stole Christmas,8
7,8,2 Hearts,1
8,9,Slumberland,3
9,10,Falling for Christmas,4
0,1,The Noel Diary,1
1,2,Slumberland,2
2,3,The Swimmers,1
3,4,Godzilla vs. Kong,2
4,5,Ghislaine Maxwell: Filthy Rich,1
